Date_Hour,Load
01.10.2017 00:00,10046.25
01.10.2017 00:15,9817.25
01.10.2017 00:30,9666
01.10.2017 00:45,9511.25
01.10.2017 01:00,9439
01.10.2017 01:15,9296.5
01.10.2017 01:30,9173.25
01.10.2017 01:45,9144.75
01.10.2017 02:00,9081.5
01.10.2017 02:15,9005.25
01.10.2017 02:30,8941
01.10.2017 02:45,8894.25
01.10.2017 03:00,8834.75
01.10.2017 03:15,8787
01.10.2017 03:30,8773.5
01.10.2017 03:45,8809.5
01.10.2017 04:00,8703.5
01.10.2017 04:15,8669.5
01.10.2017 04:30,8760.5
01.10.2017 04:45,8772.5
01.10.2017 05:00,8797
01.10.2017 05:15,8826.75
01.10.2017 05:30,8810
01.10.2017 05:45,8794.25
01.10.2017 06:00,8892.25
01.10.2017 06:15,8973
01.10.2017 06:30,9128.5
01.10.2017 06:45,9258.75
01.10.2017 07:00,9460.75
01.10.2017 07:15,9435
01.10.2017 07:30,9599
01.10.2017 07:45,9779.25
01.10.2017 08:00,10162
01.10.2017 08:15,10416.25
01.10.2017 08:30,10664.25
01.10.2017 08:45,10850
01.10.2017 09:00,10987.25
01.10.2017 09:15,11172.75
01.10.2017 09:30,11346.75
01.10.2017 09:45,11475
01.10.2017 10:00,11667.5
01.10.2017 10:15,11790.5
01.10.2017 10:30,11915.75
01.10.2017 10:45,12087.5
01.10.2017 11:00,12162.5
01.10.2017 11:15,12310.25
01.10.2017 11:30,12396.25
01.10.2017 11:45,12378
01.10.2017 12:00,12361.5
01.10.2017 12:15,12248.75
01.10.2017 12:30,12160
01.10.2017 12:45,12012.5
01.10.2017 13:00,11788.75
01.10.2017 13:15,11624.5
01.10.2017 13:30,11492.25
01.10.2017 13:45,11449.5
01.10.2017 14:00,11338
01.10.2017 14:15,11346.25
01.10.2017 14:30,11296
01.10.2017 14:45,11210
01.10.2017 15:00,11196.5
01.10.2017 15:15,11078.75
01.10.2017 15:30,11049.5
01.10.2017 15:45,10961.25
01.10.2017 16:00,11033
01.10.2017 16:15,11065.75
01.10.2017 16:30,11098.5
01.10.2017 16:45,11166.75
01.10.2017 17:00,11329
01.10.2017 17:15,11411.75
01.10.2017 17:30,11619.5
01.10.2017 17:45,11727
01.10.2017 18:00,11805.5
01.10.2017 18:15,11814.75
01.10.2017 18:30,11907.75
01.10.2017 18:45,12044.5
01.10.2017 19:00,12445
01.10.2017 19:15,12634.5
01.10.2017 19:30,12668.75
01.10.2017 19:45,12597.25
01.10.2017 20:00,12608
01.10.2017 20:15,12476.75
01.10.2017 20:30,12361.25
01.10.2017 20:45,12213
01.10.2017 21:00,12180.75
01.10.2017 21:15,12035.5
01.10.2017 21:30,11991
01.10.2017 21:45,11923.5
01.10.2017 22:00,12042.75
01.10.2017 22:15,11837.75
01.10.2017 22:30,11688.5
01.10.2017 22:45,11454
01.10.2017 23:00,11262.75
01.10.2017 23:15,11032
01.10.2017 23:30,10894.25
01.10.2017 23:45,10691.5
02.10.2017 00:00,10552.75
02.10.2017 00:15,10455
